ID:|BLOCKNAME|INBLOCK#|Sentence:|Original:|@@1@@|@@2@@|@@3@@|@@4@@|
1|extsite_relinobj|0|John met the student that Sara liked hanging out with .|1|||||
2|extsite_relinobj|0|John met the student that hanging out with amused Sara .|2||1|||
3|extsite_relinobj|1|John met the student that Sara liked spending time with .|1|||||
4|extsite_relinobj|1|John met the student that spending time with amused Sara .|2||1|||
5|extsite_relinobj|2|John met the student that Sara liked talking to .|1|||||
6|extsite_relinobj|2|John met the student that talking to amused Sara .|2||1|||
7|extsite_relinobj|3|John met the student that Sara liked fighting with .|1|||||
8|extsite_relinobj|3|John met the student that fighting with amused Sara .|2||1|||
9|extsite_relinobj|4|John met the student  Sara liked hanging out with .|1|5||||
10|extsite_relinobj|4|John met the student  hanging out with amused Sara .|2|5|1|||
11|extsite_relinobj|5|John met the student  Sara liked spending time with .|1|5||||
12|extsite_relinobj|5|John met the student  spending time with amused Sara .|2|5|1|||
13|extsite_relinobj|6|John met the student  Sara liked talking to .|1|5||||
14|extsite_relinobj|6|John met the student  talking to amused Sara .|2|5|1|||
15|extsite_relinobj|7|John met the student  Sara liked fighting with .|1|5||||
16|extsite_relinobj|7|John met the student  fighting with amused Sara .|2|5|1|||
17|extsite_relinobj|8|John met the student who Sara liked hanging out with .|1|||||
18|extsite_relinobj|8|John met the student who hanging out with amused Sara .|2||1|||
19|extsite_relinobj|9|John met the student who Sara liked spending time with .|1|||||
20|extsite_relinobj|9|John met the student who spending time with amused Sara .|2||1|||
21|extsite_relinobj|10|John met the student who Sara liked talking to .|1|||||
22|extsite_relinobj|10|John met the student who talking to amused Sara .|2||1|||
23|extsite_relinobj|11|John met the student who Sara liked fighting with .|1|||||
24|extsite_relinobj|11|John met the student who fighting with amused Sara .|2||1|||
25|extsite_relinobj|12|John met the girl that Sara liked hanging out with .|1|||||
26|extsite_relinobj|12|John met the girl that hanging out with amused Sara .|2||1|||
27|extsite_relinobj|13|John met the girl that Sara liked spending time with .|1|||||
28|extsite_relinobj|13|John met the girl that spending time with amused Sara .|2||1|||
29|extsite_relinobj|14|John met the girl that Sara liked talking to .|1|||||
30|extsite_relinobj|14|John met the girl that talking to amused Sara .|2||1|||
31|extsite_relinobj|15|John met the girl that Sara liked fighting with .|1|||||
32|extsite_relinobj|15|John met the girl that fighting with amused Sara .|2||1|||
33|extsite_relinobj|16|John met the girl  Sara liked hanging out with .|1|5||||
34|extsite_relinobj|16|John met the girl  hanging out with amused Sara .|2|5|1|||
35|extsite_relinobj|17|John met the girl  Sara liked spending time with .|1|5||||
36|extsite_relinobj|17|John met the girl  spending time with amused Sara .|2|5|1|||
37|extsite_relinobj|18|John met the girl  Sara liked talking to .|1|5||||
38|extsite_relinobj|18|John met the girl  talking to amused Sara .|2|5|1|||
39|extsite_relinobj|19|John met the girl  Sara liked fighting with .|1|5||||
40|extsite_relinobj|19|John met the girl  fighting with amused Sara .|2|5|1|||
41|extsite_relinobj|20|John met the girl who Sara liked hanging out with .|1|||||
42|extsite_relinobj|20|John met the girl who hanging out with amused Sara .|2||1|||
43|extsite_relinobj|21|John met the girl who Sara liked spending time with .|1|||||
44|extsite_relinobj|21|John met the girl who spending time with amused Sara .|2||1|||
45|extsite_relinobj|22|John met the girl who Sara liked talking to .|1|||||
46|extsite_relinobj|22|John met the girl who talking to amused Sara .|2||1|||
47|extsite_relinobj|23|John met the girl who Sara liked fighting with .|1|||||
48|extsite_relinobj|23|John met the girl who fighting with amused Sara .|2||1|||
49|extsite_relinobj|24|John met the classmate that Sara liked hanging out with .|1|||||
50|extsite_relinobj|24|John met the classmate that hanging out with amused Sara .|2||1|||
51|extsite_relinobj|25|John met the classmate that Sara liked spending time with .|1|||||
52|extsite_relinobj|25|John met the classmate that spending time with amused Sara .|2||1|||
53|extsite_relinobj|26|John met the classmate that Sara liked talking to .|1|||||
54|extsite_relinobj|26|John met the classmate that talking to amused Sara .|2||1|||
55|extsite_relinobj|27|John met the classmate that Sara liked fighting with .|1|||||
56|extsite_relinobj|27|John met the classmate that fighting with amused Sara .|2||1|||
57|extsite_relinobj|28|John met the classmate  Sara liked hanging out with .|1|5||||
58|extsite_relinobj|28|John met the classmate  hanging out with amused Sara .|2|5|1|||
59|extsite_relinobj|29|John met the classmate  Sara liked spending time with .|1|5||||
60|extsite_relinobj|29|John met the classmate  spending time with amused Sara .|2|5|1|||
61|extsite_relinobj|30|John met the classmate  Sara liked talking to .|1|5||||
62|extsite_relinobj|30|John met the classmate  talking to amused Sara .|2|5|1|||
63|extsite_relinobj|31|John met the classmate  Sara liked fighting with .|1|5||||
64|extsite_relinobj|31|John met the classmate  fighting with amused Sara .|2|5|1|||
65|extsite_relinobj|32|John met the classmate who Sara liked hanging out with .|1|||||
66|extsite_relinobj|32|John met the classmate who hanging out with amused Sara .|2||1|||
67|extsite_relinobj|33|John met the classmate who Sara liked spending time with .|1|||||
68|extsite_relinobj|33|John met the classmate who spending time with amused Sara .|2||1|||
69|extsite_relinobj|34|John met the classmate who Sara liked talking to .|1|||||
70|extsite_relinobj|34|John met the classmate who talking to amused Sara .|2||1|||
71|extsite_relinobj|35|John met the classmate who Sara liked fighting with .|1|||||
72|extsite_relinobj|35|John met the classmate who fighting with amused Sara .|2||1|||
73|extsite_relinobj|36|John met the person that Sara liked hanging out with .|1|||||
74|extsite_relinobj|36|John met the person that hanging out with amused Sara .|2||1|||
75|extsite_relinobj|37|John met the person that Sara liked spending time with .|1|||||
76|extsite_relinobj|37|John met the person that spending time with amused Sara .|2||1|||
77|extsite_relinobj|38|John met the person that Sara liked talking to .|1|||||
78|extsite_relinobj|38|John met the person that talking to amused Sara .|2||1|||
79|extsite_relinobj|39|John met the person that Sara liked fighting with .|1|||||
80|extsite_relinobj|39|John met the person that fighting with amused Sara .|2||1|||
81|extsite_relinobj|40|John met the person  Sara liked hanging out with .|1|5||||
82|extsite_relinobj|40|John met the person  hanging out with amused Sara .|2|5|1|||
83|extsite_relinobj|41|John met the person  Sara liked spending time with .|1|5||||
84|extsite_relinobj|41|John met the person  spending time with amused Sara .|2|5|1|||
85|extsite_relinobj|42|John met the person  Sara liked talking to .|1|5||||
86|extsite_relinobj|42|John met the person  talking to amused Sara .|2|5|1|||
87|extsite_relinobj|43|John met the person  Sara liked fighting with .|1|5||||
88|extsite_relinobj|43|John met the person  fighting with amused Sara .|2|5|1|||
89|extsite_relinobj|44|John met the person who Sara liked hanging out with .|1|||||
90|extsite_relinobj|44|John met the person who hanging out with amused Sara .|2||1|||
91|extsite_relinobj|45|John met the person who Sara liked spending time with .|1|||||
